ISO,ID,SMONTH,SYEAR,AUTH,LOC,LATNS,LATD,LATM,LATS,LONEW,LOND,LONM,LONS,ALT,CLIM,PAR,PAR2,MODE,MODE2,TEXT,TEXT2,DEPTH,WEAT,WEAT2,REST1,REST2,PARREM,LNDREG,LNDTOP,PHYS,SLP,POS,SLF,ASP,KND,PTRN,VAR,ROCK,STON,STSI,STSH,CRA,SEA,SALT,ALKALI,SODE,WAKE,WADE,WAUP,WALO,STAUP,STALO,STAPE,RUN,FLFR,FLNA,DRAIN,DRAINI,MOIDU,MOIDL,MOIMU,MOIML,MOIWU,MOIWL,ERT,ERT2,ERD,ERD2,AGGR,MASS,LUT,CROP,IRR,ROT,IMP,VET,VES,VED,ADPC,ADMM,COMNAME,DESCR,REMARKS,EDITDATE,VERIFIED
"CU",1,4,1990,"Kauffman J.H. & Villegas","Habana, Melena del Sur, CAI G.A. Manalich, Bloque 41, Campo 4006","N",22,44,0,"W",82,10,0,8,"Aw","U0",,"M",,"CL",,,,,,,,"CT","F","flat or almost flat",0,"F","S",,,,,"0","0",,,"C","0",,,100,"W",300,,,,,,"S","I",,"1","2",,,0,200,,,,,,,"0",,"AH","SUC","S","0",,"D","S",,1,0,,,"Short field description
Deep, poorly to imperfectly drained, grayish brown clay. The ì
subsoil is strongly mottled, a wedge-shaped angular blocky ì
structure and slickensides.
Water table is present during the rainy season at a depth of ì
about 50 to 100 cm (verbal communications).
Geology: Quaternary Era, Pleistocene; Guevarra Formation: Clays ì
and sandy clay.
Geomorphology: marine plain and terrace, abrasive and ì
accumulative abrasive, slightly ondulating.
The poor drainage is somewhat compensated by the cultivation of ì
sugarcane on machine prepared large ridges with a height of 40 to ì
50 cm.
","06/11/94 00:00:00",
"CU",2,4,1991,"Kauffman J.H., Villega & Pon","P. Rio, San Cristobal, CAI 30 de Noviembre, Bloque 120, Campo 145","N",22,32,0,"W",83,9,0,20,"Aw","L0",,"A",,"SC",,,,,,,,"CT","F","flat or almost flat",0,"F","S",,,,,"0","0",,,"0","0",,,150,"N",,,,,,"M","M","N",,"3",,0,5,5,200,,,,,,,"0","N","AH","SUC","0","0",,"WS","S",,1,0,,,"Short field description:
Deep, moderately well drained, yellowish brown, clay. Subsoil is ì
mottled. The soil show slickensides in the subsoil.
This site was cultivated with rice before 1979; now the sugarcane ì
variety is Ja 60-5, age 19 months, first ratoon.
Geology: Pleistocene, Guevarra Formation: variegated clays and ì
clayey sand with gravels, sometimes guijarros.
Geomorphology: fluvio-marine plain, plain, slightly undulated and ì
undulated deltaics.
","06/10/94 00:00:00",
"CU",3,4,1991,"Marin, Regla & Balmas","Provincia Habana, Madruga, CAI R.M. Villena, Bloque 213, Campo 4","N",23,0,0,"W",81,55,0,100,"Am","L0",,"M",,"CL",,,,,,,,"UP","F","flat or almost flat",0,"F","S",,,,,"0","0",,,"0","0",,,150,"N",,,,,,,"S","N",,"4",,0,25,25,300,,,,,,,"0","N","AH","SUC","S",,,"D","D",,1,0,,,"Short field description: Very deep, well drained, strong brown clay. Weak subangular blocky to porous massive structure. Third and fourth horizons somewhat tongued. The third horizon is variegated.Hard limestone from about 5 meter.
Geology: Neogene Era, lower Miocene. Jaruco Formation: marl and clayey limestone. Geomorphology: marine plain, abrasive and denudative abrasive.
First ratoon, Variety: C1616, Yield: 75 ton/ha.","06/11/94 00:00:00",
"CU",4,5,1991,"Marin, Regla & Balmas","Villa Clara, Sagua La Grande, CAI Antonio Finalet, Bloque 50","N",22,48,50,"W",80,5,0,8,"Aw","U0",,"M",,"CL",,,,,,,,"UP","F","flat or almost flat",1,"F","S",,,,,"0","0",,,"0","0",,,95,"W",300,,,,,,"S","I","F","2","3",0,20,20,175,,,,,,,,,"AH","SUC","S",,,"D","D",,1,0,,,"Short field description
Deep, poorly to imperfectly drained, brownish grey, clay. The ì
subsoil is strongly mottled, has a strong prismatic structure and ì
slickensides.
Geology: Quarternary Era, Higher Pleistocene. Camacho Formation: ì
grey-green and brown clays and sandy clay, sometimes with gravels ì
and small 'guijarros'.
Geomorphology: fluvio-marine deltaic plain, very flat.
","06/30/95 00:00:00",
"CU",5,5,1991,"Marin, Regla & Balmas","Matanzas, Jovellanos, EPICA, Banco de Semilla (CAI J.R. Cairo)","N",22,45,0,"W",81,30,0,25,"Aw","L0",,"R",,,,,,,,,,"UP","F","flat or almost flat",0,"F","S",,,,,"0","0",,,"0","0",,,160,"N",,,,170,200,"H","R","N",,"4",,,,0,200,,,,,,,,,"AH","SUC","S",,,"WS","S",,1,0,,,"Short field description:
Very deep, well drained, red clay. Diffuse horizon boundaries and ì
moderately structured. From 3 meter starts the hard rock.
The profile was studied and sampled after a heavy rainy season, ì
which ended about 10 days ago.
Geology: mid-low Miocene, Neogene Era. Guines Formation: ì
biogenous limestone, detritic, dolomitics.
Geomorphology: marine plain, abrasive and accumulative abrasive, ì
slightly undulated and plain.
","06/11/94 00:00:00",
"CU",6,7,1991,"Marín, Regla & Balmas","Prov. Camaguey, Florida, CAI ""Argentina"", Bloque 58, Campo 25","N",21,33,0,"W",78,8,0,80,"Aw","L0",,"R",,,,,,,,,,"PE","F","flat or almost flat",0,"F","S",,,,,"0","WS",5.00000000e+00,"A","L","0",,,85,"N",,,,,,,"M","N",,"3",,,,0,170,,,,,,,"0",,"AH","SUC","S","MO",,"WS","S",,1,0,,,"Short field description
Deep, moderately well drained, brown clay, with large cracks at ì
the surface. (Sub)angular blocky structure, slickensides and hard ì
calcareous nodules.
Geology: Middle Eocene, 'Vertientes' Formation: marls, sandstone, ì
radiolaritas limestone. 
Geomorphology: Denudative erosive undulating plains.
First ratoon: yield 51.4 ton/ha.
","06/11/94 00:00:00",
"CU",7,7,1991,"Marin, Regla & Balmas","Prov. Ciego de Avila Municipio y CAI Venezuela EPICA, Campo 17","N",21,40,0,"W",78,47,0,25,"Aw","L0",,"R",,,,,,,,,,"PE","F","flat or almost flat",0,"F","S",,,,,"0","0",,,"0","0",,,150,"N",,,,,,,"R","N",,"4",,,,0,150,,,,,,,,,"AH","SUC","S",,,"S","S",,1,0,,,"Short field description:
Very deep, well drained, red clay. Well structured, with small ì
iron concretions.
Geology: Neogene Era. mid-higher Miocene. Guines Formation: ì
clays, marl, limestones and dolomitic.
Geomorphology: marine plains, abrasive and accumulative abrasive, ì
undulated and nearly plain.
","06/11/94 00:00:00",
"CU",8,7,1991,"Marin, Regla & Balmas","Prov. S. Spiritus, Mun. Cabaiguan, CAI Remberto Abad EPICA, Bloq. Exp.","N",22,3,0,"W",79,22,0,80,"Aw","C0",,"R",,"MX",,,"P",,"M",,,"HL","U","undulating",2,"M","V",,"M",,,"0","0",,,"C","0",,,95,"N",,,,,,,"R","N",,"3",,,,0,110,,,"S",,"S",,"N","N","AH","SUC","0",,,"S","S",,1,0,,,"Short field description:
Moderately deep, well drained, light brown clay. Flagstone of ì
flattened hard rock are present in the soil from 120 cm and ì
deeper.
Variety: Cu 323 68, plant ratoon-yield 150 ton/ha, first and ì
second ratoon 120 ton/ha, third and fourth ratoon-100 ton/ha.
Geology: Neogene Era, mid-higher undifferentiated Eocene. Bijabo ì
formation: conglomerate, sandstone, limestone.
Geomorphology: undulating erosive denudative plains.
","06/11/94 00:00:00",
"CU",9,7,1991,"Marín, Regla & Balmas","Prov. Cienfuegos, Mun. Palmira, CAI Espartaco EPICA, Banco de semilla","N",22,16,0,"W",80,19,0,45,"Aw","I2","I3","R",,,,,,,,,,"AP","U","undulating",2,"M","U",,,,,"0","WS",2.00000000e+01,"A","L","0",,,100,"N",,,,60,70,"M","M","I","F","2","3",,,0,150,,,"R",,"M",,"N","N","AH","SUC","S",,,"S","S",,1,0,,,"Short field description:
Deep, moderately well drained, dark yellowish brown clay with ì
gravel. The soil is moderately porous and has a strong angular ì
blocky structure, showing slickensides on the tilted shearplanes.
Undulating site with different slope gradient toward the lowest ì
parts. The site is flooded during the raining season.
There is a not well defined prismatic structure in the third ì
horizon. Small gravels throughout the profile; increasing gravel ì
size with depth.
Geology: Aptiano-Albiano lower Cretaceous. Ataguá formation: ì
calcareous tuff, basic and intermediate lavas, limestone and ì
clastic rock. Geomorphology: abrasive, erosive, undulating marine ì
plains.
","06/11/94 00:00:00",
"CU",10,7,1991,"Marin, Regla & Balmas","Prov. V. Clara, Mun. Q. de Guines, CAI P.G.Toro, Bloque 37, Campo 19","N",22,49,0,"W",80,15,0,50,"Aw","I0",,"M",,"CL",,,,,,,,"VA","U","undulating",2,"M","U",,"M",,,"0","WS",1.00000000e+01,"A","0","C",,,100,"A",140,,,,,,"M","N",,"4",,,,0,120,,,,,,,,,"AH","SUC","0",,,,,,1,0,,,"Short field description:
Shallow, moderaley well drained, dark greyish brown clay. The ì
soil has a subangular blocky structure and contains small ì
calcareous nodules and gravels.
Geology: Neogene Era, mid-lower Miocene. Arabos formation: clays, ì
marls, sandstone, limestone and aleurolitas.
Geomorphology: abrasive, erosive, undulatimg marine plains.
","06/11/94 00:00:00",
"CU",11,11,1991,"Marín, Regla & Balmas","Prov. Pinar del Rio, Mun. Bahia Honda, CAI ""Harlem"", Bloque 91","N",22,55,0,"W",83,17,0,25,"Af","S0",,"M",,,,,,,,,,"HL","R","undulating",12,"C","U",,,,,"0","WS",1.50000000e+01,"A","0",,,,55,"N",,,,18,44,"S","R","N",,"3",,,,0,90,,,"S",,"S",,,"N","AH","SUC",,,,,,,1,0,,,"Short field description:
Shallow, well drained, dark yellowish brown clay. There are ì
mottles, hard calcareous and soft managanese nodules, and a ì
massive fragipan which is weakly cemented.
Geology: Cretaceous superior, Campaniano-maestrichtiano. ì
Formation: San Juan y Martinez, biodetritic limestone, ì
conglomerate, marls, at the site igneous rocks.
Geomorphology: marine plains and terrace abrasive and abrasive ì
accumulative, undulating and slightly undulating.
","06/11/94 00:00:00",
"CU",12,12,1991,"Marin, Regla & Balmas","Prov. Cienfuegos, Mun. Cumanayagua EPICA, Lote de Hibridacion","N",21,55,0,"W",80,15,0,1140,"Cfa","L0",,"X",,,,,,,,,,"IB","M","mountainous",4,"L","U",,,,,,,,,,,,,150,,400,,,,,,"R","N",,"4",,,,0,160,,,"S",,"S",,,"N","AH","SUC","0",,,"WE","C",,1,0,,,"Short field description:
Very deep, well drained, strong brown, clay loam. Well ì
structured, with diffuse boundaries, porous ferromanganese ì
concretions.
Geology: Jurasic higher, oxfordiano and tithoniano: limestones, ì
marbles. Geomorphology: tectonic-lithological low mountain.
The monolith was taken in a small area (40 cm x 40 cm), ì
surrounded by coffee and degraded forest.
","06/11/94 00:00:00",
"CU",13,12,1991,"Marin, Regla & Balmas","Prov. Villa Clara, Camajuani, CAI Batalla de Sta Clara, Bloque Exp.","N",22,35,0,"W",79,45,0,8,"Aw","U0",,"M",,,,,,,,,,"CP","F","flat or almost flat",0,"F","S",,,,,,,,,"C",,,,60,"W",120,100,200,25,40,"S","S","I","F","2",,,,0,150,,,,,,,,,"AH","SUC","0",,,"WS","S",,1,0,,,"Short field description
Deep, poorly drained, grey clay. The subsoil has blackish ì
mottles, a strong prismatic structure and slickensides.
Geomorphology:fluvio-marine terrace, deltaic, flat to slightly ì
undulating.
Geology: Pleistocene, clays, gravels.

","04/27/94 00:00:00",
"CU",14,12,1991,"Regla, Marin & Sixto","Prov. Las Tunas, Puerto Padre, CAI ""Antonio Guiteras"", Bloque Exp.","N",21,10,0,"W",76,35,0,40,"Aw","Y2",,"M",,,,,,,,,,"UP","U","undulating",2,"F","U",,,,,"0","0",,,"C",,,,100,"N",,,,65,80,"M","R","N",,"4",,,,0,150,,,,,,,,,"AH","SUC","0",,,"D","S",,1,0,,,"Short field description
Moderately deep, well drained, brown clay. Small surface cracks, ì
(sub)angular blocky structure, with weathered calcareous ì
fragments.
Geology: mid-lower Miocene, formation 'Vazquez': marls, ì
limestones, clays.
Geomorphology: marine plain and terrace, abrasive, erosive and ì
undulating.
","06/11/94 00:00:00",
"CU",15,12,1991,"Marin, Regla & Cabrera","Prov. y Mun. Guantanamo, CAI ""Paraguay"", Bloque El Algarrobo","N",20,2,0,"W",75,10,0,21,"Awi","S0","U0","A",,,,,,,,,,"AP","F","almost flat-slightly undulat.",4,"F","S",,"V","L",30,"0",,,,"L",,"R","M",100,"W",102,60,200,43,85,"M","M","N",,"1",,,,0,160,160,180,"S",,"S",,,"N","AH","SUC","C",,,"S","D",,1,0,,,"Short field description:
Moderately deep, imperfectly drained, brown to light olive brown ì
clay loam. Soil structure moderate angular blocky and medium ì
prismatic to columnar. There are frequent calcareous nodules in ì
the subsoil.
Geology: Eogene mid-higher. San Luis Formation: limestone, marls, ì
conglomerate, sandstones.
Geomorphology: marine plain and terrace, erosive and undulating.

","06/11/94 00:00:00",
"CU",16,12,1991,"Regla, Marin & Cabrera","Prov. Guantanamo, Municipio y CAI El Salvador, Bloque 5","N",20,12,0,"W",75,12,0,54,"Awi","L0",,"C",,,,,,,,,,"HL","U","undulating",2,"L","U",,"L","R",70,"0","FS",4.50000000e+01,"P","C",,,,100,"N",300,300,500,28,60,"M","M","I","F","3",,,,0,150,,,"G",,"M",,,"M","AH","SUC",,,,"SS","S",,1,0,,,"Short field description
Deep, moderately well drained, yellowish brown clay. (Sub)angular ì
blocky structure, medium porous, soft calcareous nodules.
Geology: middle high Eocene: sandstone, marls, limestones and ì
conglomerate.
Geomorphology: marine plains and terrace, abrasive, denudative ì
and hilly.
","06/11/94 00:00:00",
"CU",17,12,1991,"Marin, Regla & Reynosa","Prov. Stgo de Cuba, Mun. Contramaestre, CAI America Libre, Bloque 120","N",20,20,0,"W",76,5,0,105,"Awi","A0","L0","X",,,,,,,,,,"HL","R","strongly undulating",9,"M","X",,,,,"0","WS",1.50000000e+01,"P","C",,,,60,"N",,,,,,,"R","N",,"4",,,,0,180,,,"R",,"M",,,"M","AH","SUC",,,,"D","D",,1,0,,,"Short field description:
Moderately deep, well drained, dark brown clay. Small surface ì
cracks, (sub)angular blocky structure, very porous, frequent hard ì
calcareous nodules.
Geology: midle-high Eocene. Unit A: sandstones, marls, limestones ì
and conglomerate.
Geomorphology: pre-mountainous, slightly dissected.
","06/11/94 00:00:00",
"CU",18,12,1991,"Marin, Regla & Reynosa","Prov. Stgo de Cuba, Mun. Contramaestre, CAI America Libre, Bloque 124","N",20,20,0,"W",76,10,0,100,"Awi","Y3",,"A",,,,,,,,,,"AS","F","flat or almost flat",0,"F","S",,,,,"0","0",,,"C",,,,150,"N",,,,,,,"M","I","F","3",,0,25,25,150,,,,,,,,,"AH","SUC","S",,,"SS","S",,1,0,,,"Short field description:
Very deep, moderately well to well drained, dark yellowish brown ì
clay derived from alluvium. Small slickensides are present in the ì
subsoil.
Geology: Holocene silty clay and alluvials sands.
Geomorphology: alluvial plain and terrace, eroded and hilly.
","06/11/94 00:00:00",
"CU",19,12,1991,"Regla, Marin & Batle","Prov. Granma, Mun. Bayamo, CAI Arquimides Colina, Bloque Exp. 1, EPICA","N",20,12,0,"W",76,45,0,60,"Aw","U0",,"M",,,,,,,,,,"PE","F","flat or almost flat",0,"F","S",,,,,"0","0",,,"L",,,,150,"N",,,,30,60,"H","S","N",,"2",,,,0,150,,,,,,,,,"AH","SUC",,,"IL","SS","S",,1,0,,,"Short field description:
Deep, imperfectly drained, very dark brown clay. Large cracks ì
when dry, prismatic angular structure, with presence of ì
slickensides, moderately porous.
Geology: Cauto Formation: clays, sandstones, limestones and silt.
Geomorphology: fluvio-marine deltaic plain and terrace, plain and ì
slightly undulating.
","06/11/94 00:00:00",
"CU",20,12,1991,"Regla, Marin & Angarica","Prov. Holguin, Mun. San Pedro de Cacocum, CAI Cristino Naranjo","N",20,45,0,"W",76,25,0,106,"Awi","U0",,"M",,,,,,,,,,"HL","F","flat or almost flat",0,"F","S",,,,,,"WS",4.00000000e+00,"B","L",,,,120,"F",150,100,150,45,60,"S","M","N",,"2",,,,0,117,117,150,,,,,,,"AH","SUC",,,,"H","D",,1,0,,,"Short field description:
Deep, imperfectly drained, black clay. Large cracks when dry, ì
subangular to angular structure with presence of slickensides, ì
slightly porous.
Geology:  Pleistocene. undifferentiated, marine-alluvial ì
deposits. Cauto Formation: sands, clayey sands and ì
guijarros-sands, with intercalation of silt, gravels and ì
guijarros-gravels (colors: grey and greyish yellow).
Geomorphology: marine plain and terrace, abrasive-erosive ì
undulating.
","06/11/94 00:00:00",
"CU",21,12,1991,"Marin, Regla & Beatriz","Prov. Holguin, Mun. Mayari, CAI Guatemala, area 3","N",20,40,0,"W",75,50,0,20,"As","U0",,"M",,,,,,,,,,"HL","U","undulating",2,"F","U",,,,,,"WS",4.00000000e+00,,"L",,"S",,100,"N",300,,,120,150,"M","M","N",,"2",,,,,,0,150,"R",,"S",,,"N","AH","SUC",,,,"S","D",,1,0,,,"Short field description:
Deep, imperfectly drained, yellowish brown clay. Large cracks ì
when dry, moderately, (sub)angular blocky structure, presence of ì
calcareous conglomerates. Third and fourth horizon are very hard. ì
The inclusions in the first and second horizon are gravels.
Geology: mid-lower Miocene, clays, sands, marls, limestones and ì
conglomerate.
Geomorphology: marine plain and terrace, abrasive, slightly ì
undulating and plain.
","06/11/94 00:00:00",
"CU",22,12,1991,"Marin, Regla & Perez","Prov. Holguin, Municipio Mayari, Pinares de Mayari","N",20,33,0,"W",75,45,0,650,"Aw","M4",,"R",,,,,,,,,,"MO","M","mountain",6,"L","C",,,,,"0","0",,,"0",,,,150,"N",,,,,,,"R","N",,"4",,,,0,150,,,"G",,"M",,,,"PA","MXX",,"MO",,"F","C",,1,0,,,"Short field description:
Very deep, well drained, dark red, gravelly clay. Moderately ì
structured, iron concretions and diffuse horizon boundaries. The ì
gravel consists of iron concretions (""mocarrreros"").
Geology: serpentine, peridotite, serpentine-dune.
Geomorphology: mountain horst.
Surroundings of the site has severe erosion.
","06/11/94 00:00:00",
"DE",1,9,1965,"Creutzberg D.","Nordrhein-Westfalen, along Pier-Lucherberg road, 600m from Pier","N",50,51,0,"E",6,23,0,110,"Cfb","Y0",,"W",,"SI",,,,,,,"Wurm loess","AT","F","middle terrace of two rivers",0,"F",,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,,,,,,,,"a",,,,,,,,1,0,,,"A gray brown podzolic soil (?) with occasional pebbles throughout the profile. Strong worm activities can be observed, some channels reaching 180 cm deep. The Ap horizon contains some organic material and an admixture of coal dust (?). The porous E/Bw1 horizons occasionally build tongues that penetrate the Bt. In the BC there are tongues of B material. (additional climatic data: insolation (hrs))","07/02/03 00:00:00","OSP"
"DE",2,9,1967,"Creutzberg D.","Nordrhein-Westfalen, 5km SE of Juelich in the Hambacher Wald","N",50,51,0,"E",6,26,0,92,"Cfb",,,"W",,,,,,,,,"loess over gravel","PU","F",,0,"F",,,,,,"0","0",,,"0","0","0","0",95,"N",,,,95,0,"S",,,,"1",,,,,,,,,,,,,,,,,,,"FD",,"see remarks",1,0,,,"A strongly gleyed(?) and bleached fine silty profile derived from non-calcareous loess with underlying impermeable cemented gravel of early Pleistocene river deposits that cause periodic saturation of water. The surface is covered with freshly fallen leaves (ca.4cm), transitional to decomposed material; much organic matter in Ah horizon. There are few fine distinct black Mn mottles in Eg2 and Btg, coloured 5YR 2/1. The Bg shows common elongated streaks, coloured 2,5Y 6/2. VEGETATION: Quercus sessiliflora, Fagus sylvatica, Prunus padus, Quercus pendunculata; Molinia coerulea, Teucrium scorodonia, Deschampsia flexuosa.
(additional climatic data Aachen: insolation (hrs))",,
"DE",3,9,1967,"Creutzberg D.","Nordrhein-Westfalen, 5km SE of Juelich in the Hambacher Wald","N",50,55,0,"E",6,25,0,92,"Cfb",,,"W",,,,,,,,,"Wurm loess","AT","F",,0,"F",,,,,,"0","0",,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,"FD",,"mainly oaks; groundcover: herbs, grasses",1,0,,,"An imperfectly drained soil, moist throughout most of the year, on gentle slope in dissected terrace landscape, derived from reworked weathered loess (>150 cm) of Würm age on cemented gravel of early Pleistocene river deposits (""Hauptterrassenschotter""). Below 60 cm few fine black (2,5Y 2/1) Mn mottles appear. Fe mottles (5YR 3/8, 7,5YR 4/2, 10YR 7/8) are apparent below 30 cm. The surface is covered by a O1 layer (3-1 cm) of freshly fallen leaves and partly decomposed material transitional to fine O2 material (1-0 cm). In the Ah there can be found abundant organic matter. VEGETATION: Quercus sp., Carpinus betulus; Milium effuscum, Deschampsia sp. (additional climatic data Aachen: insolation (hrs))",,
"DE",4,9,1967,"Creutzberg D.","Nordrhein-Westfalen, 5km SE of Juelich in the Hambacher Wald","N",50,55,0,"E",6,25,0,91,"Cfb",,,"W","A",,,,,,,,,"AF","F",,0,"L",,,,,,"0","0",,,"0","0",,,,,110,,,,,,,,,"2",,,,0,95,95,,,,,,,,,,,,,"FD",,"moist, rich deciduous forest",1,0,,,"An imperfectly drained soil, situated on lower part of gentle slope in dissected terrace landscape, 20 m away from valley bottom. The material consists of weathered colluvial loess (ca. 75 cm) on fluviatile silt deposits on fluviatile gravel. In B horizons fine black Mn mottles appear; below 21 cm there are Fe mottles increasing with depth. In the 2Cg1 horizon an alternation of fine and coarser textured sedimentary layers is clearly visible. VEGETATION: Quercus pendunculata, Carpinus betulus; Euonymus europaeus, Lamium galeobdolon, Milium effusum, Mercurialis perennis, Deschampsia, Circea lutetiana, Athyrium felix-femina. (additional climatic data: insolation (hrs))",,
"DE",5,9,1967,"Creutzberg D.","Nordrhein-Westfalen, 6km SE of Juelich in the valley of the Ellebach","N",50,54,0,"E",6,25,0,90,"Cfb",,,"U",,,,,,,,,,"VA","F","valley bottom",0,"F",,,,,,"0","0",,,,,,,,,,,,,,,,,,"1",,,,0,25,25,,,,,,,,,,,,,"FD",,"See remarks",1,0,,,"A gleyic poorly drained soil with improved drainage due to artificial lowering of groundwater table 5 years ago. Therefore, the former vegetation (alder, oak, hornbeam forest) has been changed to poplars with groundcover of Enonymus europaeus, Viburnum opulus, Phalaris arundinacea and Iris pseudoacorus. The surface is covered by an O-layer of 2 cm (partly decomposed). Much organic matter can be found in both A horizons. There are iron mottles (10YR 4/8) throughout the profile. The Ahg2 horizon is coloured 10YR 3/2 and 2,5Y 5/2. In the Cg3 there are some pockets of sandy material. The parent material consists of silty fluviatile deposits, mainly derived from loess. (additional climatic data Aachen: insolation (hrs))",,
"DE",6,9,1967,"Creutzberg D.","Nordrhein-Westfalen, 6km SE of Juelich in the valley of the Ellebach","N",50,54,0,"E",6,25,0,90,"Cfb",,,"U",,,,,,,,,,"VA","F","valley bottom",0,"F",,,,,,,"0",,,,,,,,,,,,,,,,,,"1",,,,0,40,40,,,,,,,,"pa",,,,,,,,1,0,,,"A typic example of a gley soil with pronounced oxidation resp. reduction horizon. Below 40 cm the profile is gravelly. The Bg horizon has 2 colours (7,5YR 5/6 and 2,5Y 6/2). There is common organic matter in the Ap horizons. Besides, some very coarse dead plant roots can be found in the lowest horizon. The groundwater level has been lowered artificially. Parent material consists of alluvial deposits, maily derived from adjacent loess deposits. (additional climatic data Aachen: insolation (hrs))",,
"DE",7,9,1967,"Creutzberg D.","Schleswig-Holstein, Kiel, Brueggerholz near Boksee","N",,,,"E",,,,40,"Cfb",,,"T",,,,,,,,,"Weichsel till","GM","U",,5,,,,,,,,"WS",,,,,,,,"N",,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,"FD",,"mainly beeches and oaks, herbs on ground",1,0,,,"An imperfectly drained soil, derived from heterogeneous glacial till. The disturbed Ah2 is mainly coloured 10YR 4/4 and 10YR 4/2 and has irregular pockets of various A material. The Ah1 (rich in humus, eluvial horizon) has some bleached sand grains. In the Bt1 there is a coloured zone (10YR 5/2) with a fringe of strong brown (7,5YR 5/6) along coarse root channels. The main clay illuviation is found at a depth of 75-100 cm. (additional climatic data: insolation (hrs))",,
"DE",8,9,1967,"Creutzberg D.","Schleswig-Holstein, 0.5km S of Grossenbrode Faehre at Fehmarnsund","N",54,25,0,"E",11,8,0,5,"Cfb",,,"T",,"MX",,,"P",,,,"Weichselian age","GP","F",,1,"L",,"N","V","0",,"0","0",,,"0","0","0","0",,"P",60,,,,,"S",,"N",,"2",,,,0,60,60,,,,,,"0","N","ah","CEW","0","CC",,"H","S","see remarks",1,1,,,"Perched watertable for some period of the year, due to slowly permeable subsoil at 60 cm. Near site mean temperature is 7.8 degree C, mean annual precipitation 580 mm. Weeds: Artemisia absinthium, Dactylis glomerata, Agropyra repens, Polygonum persicaria. Additional notes on soil profile description: Bg: Ah material cutans also in worm- and root channels.
Bg2:  Matrix colour greyish brown (2.5Y 5/2) moist transitional to olive grey (5Y 5/2) moist. Infillings of Ah material in some root- and worm channels and on ped faces.
Cg: Colour of Fe/Mn concretions is dark reddish brown (5YR 5/2). Source of climate data: Mueller, Manfred J.: Handbuch ausgewaehlter Klimastationen der Erde; Universitaet Trier, Forschungsstelle Bodenerosion. Trier 1987.",,
"DE",9,9,1967,"Creutzberg D.","Schleswig-Holstein, Fitzbek near Neumuenster","N",,,,,,,,,"Cfb",,,"U",,,,,,,,,"solifluction","HI","F","glacio-fluviatile landscape",0,"F",,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,"FE",,"Coniferous forest (picea abies)",1,0,,,"A porous and sandy soil with slight biological activity and low nutrient status, derived from solifluction material of Weichsel glaciation (cherty sand, 110 cm), overlying more clayey glacial sediments, possibly groundmoraine. The surface is covered with an O-layer of coniferous litter, transitional to finely divided organic matter with many roots. Only 25 % of the ground is covered (mosses, Deschampsia flexuosa). There are bleached sand grains in all 3 A horizons. In AB and Bw some large decayed roots appear. (additional climatic data: insolation (hrs))",,
"DE",10,9,1967,"Creutzberg D.","Nordrhein-Westfalen, Eifel, 2km NNW of Hollerath in ""Staatsforst Schleiden""","N",50,28,27,"E",6,23,26,490,"Dfb","B7",,,,,,,"S",,,,,"HI","H","moderately steep slope",10,"L","V","E",,,,,,,,,,,,,,,,,,,"M","R","N",,"4",,,,,,,,,,,,,,"F",,,,,"FE",,,0,0,,,,"02/03/97 00:00:00",
"DE",11,9,1967,"Creutzberg D.","Nordrhein-Westfalen, Eifel, 2km WNW of Hollerath in ""Staatsforst Schleiden""","N",50,28,45,"E",6,22,59,550,"Cfb","B7","A3","C",,,,,,,,,,"HI","H","moderately steep slope",15,"M","S","ESE",,"0",,"0","0",,,"0","0","0","0",,"N",,,,,,"H","R","N",,"4",,,,0,80,,,,,,,"0","M","F",,"0","0",,"FE",,"no herbaceous ground cover",1,0,,,"LAND USE: Picea abies/exelsa. Soil has been under cultivated forest during the past centuries.","02/04/97 00:00:00",
"DE",12,5,1968,"Creutzberg D.","Eifel, Stromberg","N",,,,"E",,,,530,"Cfb","I6",,"X",,,,,,,,,"nephiline basalt","PU","U",,5,,,,,,,"0","0",,,,,"0","0",,,150,,,,,,,,,"3",,,,,,,,,,,,,,,,,,,"FD",,"see remarks",1,0,,,"A soil with high base saturation and with high worm activity in porous to very porous A horizons, underlying an O-layer (3cm) of partly decomposed litter, leafs and twigs. In B horizons there are very dark brown (10YR 2/3) clay skins. Below 60 cm the parent material (weathered basalt) appears. VEGETATION: Elymus europaeus, Mercurialis perennis, Lamium ì
galeobdolon, Carex silv., Milium effusum, Brachypodium silv., Athyrium femina, Asperula odorata.",,
